refrigerant_type,refrigerant_gwp
HFC-23,11700
HFC-32,650
HFC-125,2800
HFC-134a,1300
HFC-143a,3800
HFC-152a,140
HFC-236fa,6300
R-401A,18.2
R-401B,15.4
R-401C,21
R-402A,1680
R-402B,1064
R-403A,1400
R-403B,2730
R-404A,3260
R-406A,0
R-407A,1770
R-407B,2285
R-407C,1525.5
R-407D,1428
R-407E,1363
R-408A,1944
R-409A,0
R-409B,0
R-410A,1725
R-410B,1832.5
R-411A,15.4
R-411B,4.2
R-412A,350
R-413A,1774
R-414A,0
R-414B,0
R-415A,25
R-415B,105
R-416A,767
R-417A,1954.8
R-418A,3.5
R-419A,2403
R-420A,1144
R-500,36.68
R-501,0
R-502,0
R-503,4691.7
R-504,313.3
R-505,0
R-506,0
R-507 or R-507A,3300
R-508A,10175
R-508B,10350
R-509 or R-509A,3920
PFC-218 (C3F8),7000
PFC-116 (C2F6),9200
PFC-14 (CF4),6500